metric,group,n,mean,std,median,p25,p75
confidence_max_prob,TP,1147,0.9482390325591163,0.09522949676066013,0.9888577461242676,0.9519467651844025,0.9983309805393219
confidence_max_prob,TN,1162,0.9786061398851686,0.05391912245769062,0.993589848279953,0.981379359960556,0.9988090693950653
confidence_max_prob,FP,33,0.8156550833673188,0.1508298695067365,0.8557433485984802,0.747344434261322,0.9381937384605408
confidence_max_prob,FN,116,0.7835893394618199,0.1550726931117813,0.7982478141784668,0.646335780620575,0.9298116713762283
confidence_max_prob,MIS,0,0.0,0.0,0.0,0.0,0.0
confidence_max_prob,CORRECT,0,0.0,0.0,0.0,0.0,0.0
confidence_margin,TP,1147,0.8964780659756665,0.19045899207391084,0.9777155518531799,0.9038935005664825,0.9966619908809662
confidence_margin,TN,1162,0.9572122809757669,0.10783824580177996,0.987179696559906,0.9627586901187897,0.9976180791854858
confidence_margin,FP,33,0.6313101721532417,0.30165973151656145,0.7114866971969604,0.49468886852264404,0.8763874769210815
confidence_margin,FN,116,0.5671786778959734,0.3101453810637489,0.596495658159256,0.2926715463399887,0.8596233427524567
confidence_margin,MIS,0,0.0,0.0,0.0,0.0,0.0
confidence_margin,CORRECT,0,0.0,0.0,0.0,0.0,0.0
