metric,group,n,mean,std,median,p25,p75
confidence_max_prob,TP,1219,0.9846562190169287,0.04353061243848481,0.9976357221603394,0.9911352097988129,0.9994865655899048
confidence_max_prob,TN,1144,0.9735365276049067,0.058720599487542546,0.9930088520050049,0.9788205325603485,0.9976791888475418
confidence_max_prob,FP,51,0.8945819455034593,0.12428889072628202,0.9439634084701538,0.8525600135326385,0.9898083806037903
confidence_max_prob,FN,44,0.8477117161859166,0.13811491481897287,0.8668637573719025,0.755104586482048,0.9739859998226166
confidence_max_prob,MIS,0,0.0,0.0,0.0,0.0,0.0
confidence_max_prob,CORRECT,0,0.0,0.0,0.0,0.0,0.0
confidence_margin,TP,1219,0.9693124386206134,0.08706122459901934,0.9952715039253235,0.9822704493999481,0.998973160982132
confidence_margin,TN,1144,0.9470730547929977,0.11744119898212146,0.9860177040100098,0.9576411098241806,0.9953583925962448
confidence_margin,FP,51,0.7891638915912778,0.24857777966690914,0.8879268169403076,0.7051200270652771,0.9796167016029358
confidence_margin,FN,44,0.6954234310171821,0.276229824985662,0.7337275445461273,0.5102091804146767,0.9479719996452332
confidence_margin,MIS,0,0.0,0.0,0.0,0.0,0.0
confidence_margin,CORRECT,0,0.0,0.0,0.0,0.0,0.0
