metric,group,n,mean,std,median,p25,p75
entropy,TP,1202,2.7546068643624615,0.33148472047634797,2.795207722998335,2.5515512762416654,2.9877294357787467
entropy,TN,1166,1.9222903160079776,0.5770946096443381,1.966133707934713,1.4834045155970963,2.3673713098410114
entropy,FP,29,2.6587469759829747,0.3748148910392971,2.716153383068626,2.3804825563662986,2.9843744116122073
entropy,FN,61,2.043306039899606,0.7742709987464165,2.2741855233271826,1.285228312265506,2.573663905091869
entropy,MIS,0,0.0,0.0,0.0,0.0,0.0
entropy,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_contrast,TP,1202,0.3550336442785407,0.11619514025138045,0.34405028827674566,0.28322189301729656,0.4138973414477899
glcm_contrast,TN,1166,0.4308176672933632,0.17021977013741035,0.42340647021140293,0.28601457399103136,0.5498378443305573
glcm_contrast,FP,29,0.34228307451015044,0.1376555015734604,0.332919602818706,0.2685377962844331,0.406670403587444
glcm_contrast,FN,61,0.39975294315329607,0.16767920912053438,0.40146540679051895,0.2519218449711723,0.5037636130685458
glcm_contrast,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_contrast,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_homogeneity,TP,1202,0.9335182173038066,0.012444005392605777,0.9332746659014877,0.9246285477931606,0.9425790218399874
glcm_homogeneity,TN,1166,0.9445392433977718,0.018164340097085778,0.9447777977636642,0.932126761798997,0.9585646029712332
glcm_homogeneity,FP,29,0.93499337404067,0.015737609783045902,0.9374539716858342,0.9261856143802811,0.9451882226851197
glcm_homogeneity,FN,61,0.9474071654214388,0.018390331214913704,0.9454354275342424,0.9329247540620459,0.9606205687618843
glcm_homogeneity,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_homogeneity,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_energy,TP,1202,0.5407577319919173,0.053026799786662734,0.5298563695138365,0.5040913303837666,0.5720347950191695
glcm_energy,TN,1166,0.675253320562878,0.10525799790393763,0.6680468338490279,0.5925568490497833,0.7570379086985645
glcm_energy,FP,29,0.5481462077956984,0.06309051244928016,0.5343154933220198,0.4974390349072073,0.5918668164230741
glcm_energy,FN,61,0.6567742375808867,0.13544326378078003,0.6108411664884387,0.5535923735665161,0.7903078683595184
glcm_energy,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_energy,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_correlation,TP,1202,0.9813454688490401,0.005726770968287972,0.9821944617634328,0.9787800540355365,0.9854885371567633
glcm_correlation,TN,1166,0.974867985292525,0.008158717522875813,0.9760689942821885,0.9698085918630404,0.9806728406686165
glcm_correlation,FP,29,0.9774223306752919,0.00666034879828025,0.9780494915863039,0.9737134492818722,0.9823461425024235
glcm_correlation,FN,61,0.9761503138738111,0.009730137095124698,0.9799952355437334,0.9734312706605879,0.981852137108578
glcm_correlation,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_correlation,CORRECT,0,0.0,0.0,0.0,0.0,0.0
