metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1202,29.626012307038522,7.263184047297822,30.11366081237793,24.54806137084961,34.4831657409668
brightness_mean,TN,1166,22.69060518463521,9.210754511033052,21.334043502807617,15.427121877670288,28.5964298248291
brightness_mean,FP,29,26.531859365002862,7.457694458674959,26.546794891357422,23.35483169555664,30.15264320373535
brightness_mean,FN,61,24.314359227164847,11.374819779483925,24.32260513305664,15.682337760925293,31.334880828857422
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1202,53.03780090789033,10.36858434832835,54.031118392944336,46.51061725616455,61.00909996032715
brightness_std,TN,1166,50.17628416679736,12.6118379204374,49.428436279296875,40.5734748840332,60.041619300842285
brightness_std,FP,29,47.309911201740135,10.306490958307789,49.86968231201172,39.82387924194336,51.83021926879883
brightness_std,FN,61,50.38265913040912,14.320328577451408,48.850460052490234,40.733055114746094,62.170928955078125
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1202,138.27225457570717,29.677600380670732,142.0,119.25,160.0
contrast_p95_p5,TN,1166,144.6753859348199,39.52632912448277,149.0,117.0,178.0
contrast_p95_p5,FP,29,121.06896551724138,26.61086114793136,126.0,100.0,137.0
contrast_p95_p5,FN,61,140.0,45.02087478788775,149.0,118.0,176.0
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1202,259.9409100664237,99.42212739539488,253.91989135742188,195.02766799926758,316.09080505371094
sharpness_laplacian_var,TN,1166,394.47893409990735,169.07339601918304,392.2082977294922,266.79151153564453,522.175048828125
sharpness_laplacian_var,FP,29,270.31881121931406,118.00083216159362,249.10311889648438,200.0310821533203,304.241455078125
sharpness_laplacian_var,FN,61,333.483365293409,157.63574037392019,332.73883056640625,187.61654663085938,481.0462341308594
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1202,0.5547345305024228,0.05277426390594789,0.5622366052322227,0.5225132900235094,0.5903926798979835
snr_mean_over_std,TN,1166,0.4414843487012388,0.10477443658028612,0.44482129883190663,0.3609968312845293,0.5215964705505707
snr_mean_over_std,FP,29,0.5556545370361391,0.06370435157316409,0.5623489914739122,0.5105697953511364,0.6090825472487421
snr_mean_over_std,FN,61,0.4583802113275224,0.13295492126709893,0.48570742676224904,0.32970918593202836,0.5652146304926934
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
