metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1235,29.506456135738233,7.484074348198673,30.075754165649414,24.392966270446777,34.472347259521484
brightness_mean,TN,1140,22.54558932655736,9.103542740744976,21.2625150680542,15.404042720794678,28.352539539337158
brightness_mean,FP,55,27.721776992624456,9.633309997896692,27.724349975585938,23.530163764953613,32.43217849731445
brightness_mean,FN,28,23.32747779573713,9.803825077328325,22.301060676574707,18.122100353240967,30.48228693008423
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1235,52.95907208832652,10.504098577586344,53.9829216003418,46.32686996459961,61.01468276977539
brightness_std,TN,1140,50.032495987206175,12.554045385770932,49.22035598754883,40.495460510253906,59.90793514251709
brightness_std,FP,55,51.64526068947532,12.810846055865799,51.83021926879883,44.31986999511719,57.4512996673584
brightness_std,FN,28,50.725888184138704,14.322809934482828,52.65254783630371,37.56372261047363,62.15889835357666
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1235,138.22995951417005,30.09552177171028,142.0,119.0,160.0
contrast_p95_p5,TN,1140,144.58530701754387,39.33465539899655,149.0,117.0,178.0
contrast_p95_p5,FP,55,134.09545454545454,40.29062508446562,141.0,117.5,155.0
contrast_p95_p5,FN,28,143.90178571428572,47.5372339098967,157.5,111.5,178.5
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1235,260.92071809343963,101.85972793725965,253.71078491210938,194.02674865722656,317.96441650390625
sharpness_laplacian_var,TN,1140,395.60709666536565,169.72803573289073,393.15032958984375,267.72560119628906,525.9891052246094
sharpness_laplacian_var,FP,55,305.6289543151855,128.5175037204534,298.2261657714844,194.88809967041016,397.8482971191406
sharpness_laplacian_var,FN,28,376.941869190761,136.72397807779168,347.08229064941406,283.7255630493164,485.7833480834961
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1235,0.552433554409899,0.05888546612306086,0.5620547525808116,0.5198681123610365,0.5902067158581471
snr_mean_over_std,TN,1140,0.4404025346965103,0.1041015196078212,0.4441372148027368,0.36081789270620956,0.5202771275111643
snr_mean_over_std,FP,55,0.524106229194014,0.1018685973452253,0.5450360658299959,0.4917848505911655,0.6014941162946108
snr_mean_over_std,FN,28,0.44630924495235147,0.11503400159216783,0.47125834017980334,0.3590601866632911,0.5417837418099796
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
