metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1190,29.645314854533733,7.30393051701735,30.12845802307129,24.578094482421875,34.49178409576416
brightness_mean,TN,1162,22.67429993259312,9.220080008055136,21.294135093688965,15.412737131118774,28.616633892059326
brightness_mean,FP,33,26.640395308985855,7.092800045795782,26.813396453857422,23.705495834350586,30.15264320373535
brightness_mean,FN,73,24.87284971263311,10.382831621661655,24.240812301635742,17.266162872314453,31.5642147064209
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1190,53.18847335046079,10.35318830698726,54.120248794555664,46.61650466918945,61.099164962768555
brightness_std,TN,1162,50.158294114721826,12.63760294167639,49.428436279296875,40.536349296569824,60.07138729095459
brightness_std,FP,33,48.29081824331573,9.64330066954179,49.86968231201172,44.64030838012695,52.5899543762207
brightness_std,FN,73,48.362953577956105,13.323639243821273,45.97622299194336,37.69879913330078,57.493125915527344
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1190,138.78214285714284,29.734463443320532,143.0,120.0,160.0
contrast_p95_p5,TN,1162,144.6432874354561,39.6146627562354,149.0,117.0,178.0
contrast_p95_p5,FP,33,125.06060606060606,25.874624869188192,129.0,109.0,141.0
contrast_p95_p5,FN,73,131.4041095890411,41.598978981714886,133.0,108.0,165.0
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1190,260.6567665933561,100.84364926671195,254.2580108642578,195.54211044311523,317.2463073730469
sharpness_laplacian_var,TN,1162,394.7611400420407,169.10770522588172,392.2082977294922,266.60929107666016,522.3725280761719
sharpness_laplacian_var,FP,33,275.4314532424464,121.1955811092308,278.2613830566406,200.0310821533203,346.1499938964844
sharpness_laplacian_var,FN,73,309.7247525567878,140.40884629151282,287.72705078125,192.09744262695312,383.2803039550781
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1190,0.5533180101647951,0.05529627864372997,0.5618172238113399,0.520118888326651,0.5896870292659738
snr_mean_over_std,TN,1162,0.4413283595997109,0.10483617979750065,0.44476298053656843,0.3608789655653452,0.5217546057544069
snr_mean_over_std,FP,33,0.5473084334796494,0.06867937391808444,0.5525190552793592,0.48828382360893796,0.6090825472487421
snr_mean_over_std,FN,73,0.49731049943540917,0.12322069244650266,0.5505638704773367,0.44188008308708693,0.5875598857219254
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
