metric,group,n,mean,std,median,p25,p75
entropy,TP,1190,2.748572926842931,0.3473873307887932,2.7961519036174454,2.5418300530446567,2.988380410653968
entropy,TN,1162,1.9209369192595196,0.57704894818539,1.9637594079129284,1.483181681806451,2.3673713098410114
entropy,FP,33,2.6171354724014013,0.4000306004934798,2.6328820472860723,2.2958678320737045,2.9843744116122073
entropy,FN,73,2.258593650061193,0.7198716986505347,2.5580031575183844,1.8518434366271679,2.785353038594999
entropy,MIS,0,0.0,0.0,0.0,0.0,0.0
entropy,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_contrast,TP,1190,0.3560489330261253,0.11693839429752571,0.3449111146700833,0.2823710762331839,0.416319666880205
glcm_contrast,TN,1162,0.43097766282481437,0.1704758385763162,0.42340647021140293,0.28566423766816146,0.5504984785393978
glcm_contrast,FP,33,0.3473807582551977,0.13023191809835835,0.3342809096732864,0.27202114029468294,0.4229260089686099
glcm_contrast,FN,73,0.3758512281379165,0.15510273605748032,0.3303971812940422,0.27005925688661114,0.4780989750160154
glcm_contrast,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_contrast,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_homogeneity,TP,1190,0.9335333875981214,0.012611089470112935,0.9329406080542172,0.9246285477931606,0.9426702788189814
glcm_homogeneity,TN,1162,0.9445576025432707,0.01818411095487004,0.9448001596406566,0.9320987463371653,0.958595917248724
glcm_homogeneity,FP,33,0.9355039846576039,0.015174471448542027,0.9374539716858342,0.9269360570274446,0.9477725965411642
glcm_homogeneity,FN,73,0.944876754083819,0.01646612024558659,0.9417124354354095,0.9343589379048417,0.9510526510156155
glcm_homogeneity,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_homogeneity,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_energy,TP,1190,0.5420876545682843,0.056076026421575116,0.530825496945357,0.5039332516182222,0.5741396604208971
glcm_energy,TN,1162,0.6754305797923169,0.10531786136439761,0.668353152899301,0.5925330341471181,0.7572685713582925
glcm_energy,FP,33,0.5573114570823896,0.06859930722836032,0.5630361873856303,0.4974390349072073,0.6172475488384288
glcm_energy,FN,73,0.6160234713761672,0.12606678102159333,0.5588406726639509,0.5250262825983667,0.6840190141151777
glcm_energy,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_energy,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_correlation,TP,1190,0.9814482819371597,0.005573159065526845,0.9822231779579842,0.9788422182686352,0.9855626632327458
glcm_correlation,TN,1162,0.9748389973754596,0.008166592179364626,0.9760363394814218,0.9697995325861415,0.9806537563980801
glcm_correlation,FP,33,0.9781334391025358,0.006112093291940013,0.9794456980638022,0.9737134492818722,0.9826045938025524
glcm_correlation,FN,73,0.9753283177757314,0.009950361947234919,0.979890027042994,0.9710328340246017,0.98185614605072
glcm_correlation,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_correlation,CORRECT,0,0.0,0.0,0.0,0.0,0.0
