metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1231,29.574655986432617,7.434371186297232,30.093730926513672,24.45700168609619,34.497249603271484
brightness_mean,TN,1130,22.4993163269178,9.042419048738209,21.278050422668457,15.393051624298096,28.341787338256836
brightness_mean,FP,65,27.72987873004033,10.320189729141163,27.541234970092773,18.76819610595703,33.64179992675781
brightness_mean,FN,32,21.476287081837654,9.386022442294362,22.673897743225098,15.21496295928955,26.31303358078003
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1231,53.0247541934276,10.486393435359524,54.03407287597656,46.46999549865723,61.06597709655762
brightness_std,TN,1130,50.05571329234976,12.48040778599169,49.239933013916016,40.5734748840332,59.84882926940918
brightness_std,FP,65,50.99351912278395,14.032384838503095,50.85197448730469,39.884071350097656,58.14244842529297
brightness_std,FN,32,48.47832769155502,13.829819495740198,45.32920265197754,39.702799797058105,58.95551586151123
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1231,138.3751015434606,29.927449324304035,143.0,120.0,160.0
contrast_p95_p5,TN,1130,144.69579646017698,39.45869893498061,149.0,117.0,178.0
contrast_p95_p5,FP,65,133.78846153846155,37.61620616630754,134.0,109.0,158.0
contrast_p95_p5,FN,32,137.609375,50.1315180582294,143.625,113.5,178.0
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1231,261.31438205573346,101.984814845425,254.12689208984375,194.45720672607422,319.07289123535156
sharpness_laplacian_var,TN,1130,396.19022367696846,169.5411271097429,395.3797302246094,268.75685119628906,525.6579895019531
sharpness_laplacian_var,FP,65,309.3343066288875,137.65206258230225,298.2261657714844,196.48867797851562,396.5436706542969
sharpness_laplacian_var,FN,32,347.2954647541046,145.1181182516147,339.45191955566406,229.20413208007812,467.72359466552734
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1231,0.5532607901719865,0.05697010948167784,0.5621592405422522,0.5206019865443241,0.5904540939717342
snr_mean_over_std,TN,1130,0.43933934510642675,0.10414450474181886,0.4431481777270856,0.36049913165813596,0.5192888105543954
snr_mean_over_std,FP,65,0.5297118798373891,0.09050671091256023,0.5450360658299959,0.49528587757339304,0.6016350777221857
snr_mean_over_std,FN,32,0.42775205791173915,0.12196611508477392,0.45704936178660827,0.319836135402052,0.5377236472476067
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
