metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1228,29.662085898536034,7.365685990407392,30.12845802307129,24.556730270385742,34.509944915771484
brightness_mean,TN,1102,22.096528138093205,8.791606878944796,20.965600967407227,15.172492980957031,27.933125019073486
brightness_mean,FP,93,30.927909233236825,9.903502503266134,30.15264320373535,24.104393005371094,40.86009216308594
brightness_mean,FN,35,19.10289207186018,8.393613445569278,17.29781150817871,14.747588157653809,22.86299228668213
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1228,53.150125935333946,10.418620488377787,54.066423416137695,46.52770137786865,61.11489200592041
brightness_std,TN,1102,49.52271694107194,12.254615485324518,48.79823303222656,40.294386863708496,58.58135795593262
brightness_std,FP,93,57.026889185751635,14.117909391629317,59.39366149902344,47.19204330444336,69.08535766601562
brightness_std,FN,35,44.46926427568708,13.370011370626674,42.26506423950195,35.1762638092041,56.42851448059082
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1228,138.65777687296418,29.882439016207258,143.0,120.0,160.0
contrast_p95_p5,TN,1102,143.48389292196006,39.32824933583242,148.0,116.25,176.0
contrast_p95_p5,FP,93,151.43279569892474,40.02222785570407,163.0,124.0,184.0
contrast_p95_p5,FN,35,127.75714285714285,48.46862560530499,120.0,99.0,169.0
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1228,260.4582598620983,101.93000391965744,253.49945068359375,193.78899383544922,316.3753890991211
sharpness_laplacian_var,TN,1102,393.96293614174624,168.96412458192535,389.43629455566406,268.1605911254883,514.2156829833984
sharpness_laplacian_var,FP,93,361.87663502846993,168.36652657432637,362.85626220703125,193.2875213623047,528.6652221679688
sharpness_laplacian_var,FN,35,369.9633163452148,123.70042787366647,362.29730224609375,270.4139404296875,476.85560607910156
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1228,0.5538492266738904,0.05630857953658658,0.5624980494893765,0.522612253464883,0.5906531475400132
snr_mean_over_std,TN,1102,0.4366392419003774,0.10341060218403103,0.4403938253330746,0.3583948855455595,0.5178152422374277
snr_mean_over_std,FP,93,0.5344977159728667,0.08574239293838394,0.5623489914739122,0.49205966138841456,0.595854747146793
snr_mean_over_std,FN,35,0.4178642342672498,0.11178465223841527,0.4827872707933089,0.31792101328599287,0.4904916437799156
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
