metric,group,n,mean,std,median,p25,p75
confidence_max_prob,TP,1228,0.9793570527521718,0.039041869672464244,0.9933163821697235,0.9765904694795609,0.9981754869222641
confidence_max_prob,TN,1102,0.980806509401318,0.06588436010182466,0.9989278018474579,0.9943885505199432,0.9999109506607056
confidence_max_prob,FP,93,0.8014911868238962,0.13945018760176406,0.8099074959754944,0.709890604019165,0.9323562979698181
confidence_max_prob,FN,35,0.9332645859037126,0.1240040202837887,0.9873120784759521,0.948075920343399,0.9950823783874512
confidence_max_prob,MIS,0,0.0,0.0,0.0,0.0,0.0
confidence_max_prob,CORRECT,0,0.0,0.0,0.0,0.0,0.0
confidence_margin,TP,1228,0.958714103805514,0.0780837404710258,0.9866327941417694,0.9531809389591217,0.9963509887456894
confidence_margin,TN,1102,0.9616130197762145,0.1317687219619785,0.9978555738925934,0.9887770414352417,0.9998219013214111
confidence_margin,FP,93,0.6029823723659721,0.278900372082235,0.6198149919509888,0.4197811484336853,0.8647125363349915
confidence_margin,FN,35,0.8665291666984558,0.2480080332674152,0.9746240973472595,0.8961517810821533,0.9901647567749023
confidence_margin,MIS,0,0.0,0.0,0.0,0.0,0.0
confidence_margin,CORRECT,0,0.0,0.0,0.0,0.0,0.0
