metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1228,29.57357513244455,7.338495592088111,30.07321262359619,24.428162097930908,34.471235275268555
brightness_mean,TN,1155,22.61136350569787,9.180716250637952,21.280332565307617,15.385144233703613,28.54084587097168
brightness_mean,FP,40,27.763617944717407,8.037181911309263,26.859126091003418,23.6178297996521,30.744962215423584
brightness_mean,FN,35,22.208355522155763,11.924011574239318,22.277244567871094,12.37777042388916,31.436613082885742
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1228,52.98167183189516,10.423001134994545,53.98249053955078,46.42145347595215,61.00319862365723
brightness_std,TN,1155,50.11929077049354,12.603321356746061,49.41009521484375,40.5170841217041,60.02252006530762
brightness_std,FP,40,49.74384808540344,11.54562922202143,50.151445388793945,43.870771408081055,55.54599094390869
brightness_std,FN,35,50.37959681919643,15.624007621768842,48.850460052490234,37.53922462463379,64.00543212890625
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1228,138.2139657980456,29.745157988938814,142.0,119.0,160.0
contrast_p95_p5,TN,1155,144.63419913419912,39.60390513164178,149.0,117.0,178.0
contrast_p95_p5,FP,40,128.75,30.35833007805609,129.0,109.0,149.0
contrast_p95_p5,FN,35,143.32857142857142,52.31981584688635,165.0,121.5,180.0
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1228,260.59103058681427,100.85050963324417,253.91989135742188,194.0465316772461,317.9022216796875
sharpness_laplacian_var,TN,1155,395.1678781847933,169.106534668152,393.7171936035156,267.46844482421875,522.4794921875
sharpness_laplacian_var,FP,40,284.5695845603943,129.56478394080472,270.91656494140625,189.76528549194336,355.4768829345703
sharpness_laplacian_var,FN,35,365.3049606323242,155.65597864460838,347.180908203125,249.64611053466797,486.0404815673828
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1228,0.5540500890277662,0.054572332205302526,0.5622366052322227,0.5216778822951575,0.5901619196162671
snr_mean_over_std,TN,1155,0.44046870259880794,0.10459921402896102,0.44422300606820864,0.3606613974933792,0.5210039643015765
snr_mean_over_std,FP,40,0.5535845164517329,0.0621996224319569,0.5657089357179124,0.4968604144673268,0.6052300901931519
snr_mean_over_std,FN,35,0.41081683510840866,0.1319763546179626,0.4379836270851663,0.29041529834187596,0.5210573265239775
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
