metric,group,n,mean,std,median,p25,p75
entropy,TP,1223,2.748267042208293,0.34674018911858673,2.7951288861217485,2.5472430897383687,2.984465123421626
entropy,TN,1138,1.909215612696491,0.5727483906788386,1.952684739364011,1.4674476884430792,2.3517021527733744
entropy,FP,57,2.5580140968456337,0.4519541230075849,2.557498732167174,2.3777627606852976,2.8963523602342303
entropy,FN,40,1.8637131694203029,0.7176292653313321,2.0627867893330283,1.1761325363212962,2.452782162677299
entropy,MIS,0,0.0,0.0,0.0,0.0,0.0
entropy,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_contrast,TP,1223,0.3560577925863612,0.11814244272168142,0.34421044202434337,0.28247117232543245,0.41627962844330557
glcm_contrast,TN,1138,0.4305693395360777,0.17153199504351047,0.42284593209481103,0.28505365150544526,0.5513693145419603
glcm_contrast,FP,57,0.3907315935578857,0.13144952997740686,0.39361787315823193,0.30128923766816146,0.45623798846893016
glcm_contrast,FN,40,0.39191724055092886,0.1529295914044294,0.3660313901345292,0.26054011851377323,0.5069666880204997
glcm_contrast,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_contrast,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_homogeneity,TP,1223,0.9336837578552449,0.012616619629390504,0.9332933750599708,0.9249847869828052,0.942610263411983
glcm_homogeneity,TN,1138,0.9448166852886266,0.01819535641906454,0.9452533517674803,0.9323341082041934,0.9587727309848046
glcm_homogeneity,FP,57,0.9341434700092036,0.01419624625865442,0.9329738865328031,0.9269360570274446,0.9417785439100901
glcm_homogeneity,FN,40,0.949637460822974,0.018323689248111216,0.9469667548623345,0.9360233656755819,0.9666247698717618
glcm_homogeneity,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_homogeneity,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_energy,TP,1223,0.5417896250860618,0.05593791903799354,0.5306307379876479,0.503985330962567,0.5736847792683026
glcm_energy,TN,1138,0.6773812761749688,0.10481482355444524,0.6721444523000887,0.5955160313526225,0.7582060374291801
glcm_energy,FP,57,0.5681003423732741,0.07751045546882189,0.5658623446029009,0.5080827001352433,0.6108482697200971
glcm_energy,FN,40,0.6861327716616279,0.1269368407896986,0.6484233809043485,0.5704612296238084,0.8078736296325574
glcm_energy,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_energy,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_correlation,TP,1223,0.9813103961460602,0.005742953784735017,0.9821734116767187,0.9787528043540263,0.9854715375553316
glcm_correlation,TN,1138,0.9748146931599654,0.008148543835691531,0.9759954093059205,0.9697429570727801,0.9805965663484598
glcm_correlation,FP,57,0.9772315372741551,0.007514381284580894,0.9798286730141532,0.972053848491691,0.9822606488581554
glcm_correlation,FN,40,0.9744952054054272,0.010780824158139957,0.9791295688291282,0.9709286171747551,0.9816400216619587
glcm_correlation,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_correlation,CORRECT,0,0.0,0.0,0.0,0.0,0.0
