metric,group,n,mean,std,median,p25,p75
entropy,TP,1228,2.745088737780712,0.3532215202608506,2.7947152964384134,2.544798989644094,2.9840934362170235
entropy,TN,1146,1.9132080691947997,0.571958539373755,1.9579454711381323,1.4708269077092666,2.3550469781644088
entropy,FP,49,2.5705657851340256,0.508123390270266,2.570101437758119,2.3804825563662986,2.9843744116122073
entropy,FN,35,1.8488614115097248,0.7048044034381415,1.991228739619106,1.202493629890445,2.4527890608452596
entropy,MIS,0,0.0,0.0,0.0,0.0,0.0
entropy,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_contrast,TP,1228,0.35616804510179934,0.11815046277775115,0.34437059577194107,0.2828815663036515,0.4162395900064062
glcm_contrast,TN,1146,0.4309203851404155,0.1706234604160704,0.4228058936579116,0.28601457399103136,0.5491171524663677
glcm_contrast,FP,49,0.3760173031416282,0.1466765074683611,0.3580637411915439,0.2685778347213325,0.45623798846893016
glcm_contrast,FN,35,0.3931717305756383,0.15748090516645508,0.3673526585522101,0.2502802690582959,0.49725736707238943
glcm_contrast,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_contrast,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_homogeneity,TP,1228,0.9337309444733253,0.012688150354466849,0.9333055812223312,0.9249804117508365,0.942642136473214
glcm_homogeneity,TN,1146,0.944661206823543,0.018182449001035928,0.9451954253483721,0.932126761798997,0.9586698658478817
glcm_homogeneity,FP,49,0.9360371965143104,0.01572129295027261,0.9346209532868726,0.9269360570274446,0.9445106905804176
glcm_homogeneity,FN,35,0.950260985046858,0.017688174440327418,0.9474260673196653,0.9357816494455167,0.9634624562868175
glcm_homogeneity,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_homogeneity,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_energy,TP,1228,0.5423539672521116,0.05715278909191379,0.5306467771680928,0.5040374103069118,0.5738595679013927
glcm_energy,TN,1146,0.6767429924305034,0.10462250404799842,0.6717826644007459,0.59514756263226,0.7579013465034056
glcm_energy,FP,49,0.5651865811639633,0.0863763046304057,0.5630361873856303,0.5012812796761509,0.5918668164230741
glcm_energy,FN,35,0.6869528731750137,0.12598504190819637,0.6602268374628752,0.5700376858100239,0.805378764190176
glcm_energy,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_energy,CORRECT,0,0.0,0.0,0.0,0.0,0.0
glcm_correlation,TP,1228,0.9813099608823728,0.005740900864482431,0.9821286166434919,0.9787883193027876,0.9854692861496048
glcm_correlation,TN,1146,0.9748060517355502,0.00806958407371966,0.9759505458384314,0.9697429570727801,0.9805732446821948
glcm_correlation,FP,49,0.9778282275862662,0.009111618413747604,0.9807440891767726,0.9753380512749269,0.9839314357248468
glcm_correlation,FN,35,0.973536878265571,0.011034368148940113,0.9785226063073389,0.9700016732416229,0.9811061030529566
glcm_correlation,MIS,0,0.0,0.0,0.0,0.0,0.0
glcm_correlation,CORRECT,0,0.0,0.0,0.0,0.0,0.0
