metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1228,29.596320134032432,7.411893637105432,30.10807991027832,24.517772674560547,34.49547576904297
brightness_mean,TN,1146,22.54831917498124,9.090514195862333,21.278050422668457,15.412737131118774,28.368891716003418
brightness_mean,FP,49,28.29175086410678,9.833090087771508,27.724349975585938,23.705495834350586,33.194515228271484
brightness_mean,FN,35,21.41033089501517,9.504518862193597,22.32487678527832,14.747588157653809,26.77933692932129
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1228,53.05010254763625,10.470344614368294,54.037418365478516,46.4900598526001,61.062119483947754
brightness_std,TN,1146,50.064163582487254,12.511029158187446,49.239933013916016,40.56339740753174,59.86157035827637
brightness_std,FP,49,51.10210811848543,13.872279867437811,50.99708557128906,43.99943161010742,58.003841400146484
brightness_std,FN,35,47.97865627833775,13.763971137505939,44.6566047668457,39.034799575805664,59.52256965637207
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1228,138.40777687296418,29.937318968435005,143.0,120.0,160.0
contrast_p95_p5,TN,1146,144.62674520069808,39.37693118862503,149.0,117.0,178.0
contrast_p95_p5,FP,49,131.84183673469389,38.90676267659376,132.0,109.0,155.0
contrast_p95_p5,FN,35,136.52857142857144,48.4368437879106,125.25,113.5,177.0
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1228,260.9976998431675,101.64083774240575,254.11798858642578,194.50110244750977,318.17771911621094
sharpness_laplacian_var,TN,1146,396.31054535378127,169.15827568364628,395.3797302246094,268.75685119628906,525.6579895019531
sharpness_laplacian_var,FP,49,278.1591369473204,121.53096748474752,249.10311889648438,188.05081176757812,356.3139343261719
sharpness_laplacian_var,FN,35,351.03667929513114,145.9929301564275,343.4978942871094,226.98171997070312,476.85560607910156
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1228,0.5535025077283283,0.05643798655531267,0.5623317260525864,0.5206198302357354,0.5905239324926869
snr_mean_over_std,TN,1146,0.4400953414866887,0.10418523373629275,0.4439922837014396,0.3606158520450572,0.519782152963209
snr_mean_over_std,FP,49,0.5415402207336152,0.08653128948362421,0.5505952290182868,0.5105697953511364,0.603159851599912
snr_mean_over_std,FN,35,0.43002911612868405,0.12336282416333111,0.4610849237523342,0.31792101328599287,0.5411193241640607
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
