metric,group,n,mean,std,median,p25,p75
brightness_mean,TP,1208,29.57619883090455,7.409556719668237,30.08090591430664,24.517772674560547,34.471235275268555
brightness_mean,TN,1153,22.49802629428642,9.069737588588728,21.27598762512207,15.382732391357422,28.365633010864258
brightness_mean,FP,42,30.62964879898798,9.063215063944757,30.119608879089355,25.33699369430542,38.865806579589844
brightness_mean,FN,55,24.828991239721123,9.913343737236502,24.32260513305664,18.570043563842773,34.06266975402832
brightness_mean,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_mean,CORRECT,0,0.0,0.0,0.0,0.0,0.0
brightness_std,TP,1208,53.03360291032602,10.477914603729927,54.011260986328125,46.4900598526001,61.07603073120117
brightness_std,TN,1153,49.95757462269104,12.515433608962258,49.208675384521484,40.40625762939453,59.768951416015625
brightness_std,FP,42,54.20121960412888,13.375727569946815,51.71074867248535,46.18766117095947,63.6849946975708
brightness_std,FN,55,50.1852105920965,12.831378549677083,48.850460052490234,40.40918159484863,60.44839859008789
brightness_std,MIS,0,0.0,0.0,0.0,0.0,0.0
brightness_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,TP,1208,138.38038079470198,29.98957413456973,142.0,120.0,160.0
contrast_p95_p5,TN,1153,144.2424111014744,39.57764620435855,149.0,117.0,178.0
contrast_p95_p5,FP,42,140.26190476190476,35.12629445496707,135.5,118.75,163.75
contrast_p95_p5,FN,55,137.81363636363636,41.72590839006901,148.0,112.5,166.5
contrast_p95_p5,MIS,0,0.0,0.0,0.0,0.0,0.0
contrast_p95_p5,CORRECT,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,TP,1208,257.8788231287571,96.9103763662286,252.41200256347656,193.78899383544922,315.80873107910156
sharpness_laplacian_var,TN,1153,395.03289409481954,169.11669841215257,391.666015625,267.9827575683594,522.4041748046875
sharpness_laplacian_var,FP,42,293.5418046315511,136.4548015592336,270.91656494140625,186.6852798461914,394.88206481933594
sharpness_laplacian_var,FN,55,386.79710624001245,164.79758909821547,335.40594482421875,254.49475860595703,533.7249145507812
sharpness_laplacian_var,MIS,0,0.0,0.0,0.0,0.0,0.0
sharpness_laplacian_var,CORRECT,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,TP,1208,0.5532998697689794,0.0563542492973357,0.561891485772452,0.5196709411069803,0.5906836155871954
snr_mean_over_std,TN,1153,0.440048924318728,0.10436534427470318,0.4440682533555006,0.36057030659673517,0.5206152387923751
snr_mean_over_std,FP,42,0.5597219623856917,0.0591343580141336,0.5670614770844149,0.5176543751070231,0.6042678756290918
snr_mean_over_std,FN,55,0.47937919770843523,0.123520476284287,0.5433816160739277,0.40589124005022487,0.5787212015821243
snr_mean_over_std,MIS,0,0.0,0.0,0.0,0.0,0.0
snr_mean_over_std,CORRECT,0,0.0,0.0,0.0,0.0,0.0
